prompt,domain,url,title
"What is community-based mental health care, and who provides it in Louisville?",vahemophilia.org,https://vahemophilia.org/community-resources/mental-health/,
"What is community-based mental health care, and who provides it in Louisville?",mywoc.org,https://www.mywoc.org/suicide-intervention-prevention-resources/,
"What is community-based mental health care, and who provides it in Louisville?",contactsyracuse.org,https://www.contactsyracuse.org/contact-community-services-celebrates-two-year-anniversary-of-988-suicide-crisis-lifeline/,
"What is community-based mental health care, and who provides it in Louisville?",facebook.com,https://www.facebook.com/msudenverhealthinstitute/,
Which Louisville mental health providers offer case management?,bestlifelouisville.com,https://www.bestlifelouisville.com/case-management/,
Which Louisville mental health providers offer case management?,indeed.com,"https://www.indeed.com/q-case-manager-l-louisville,-ky-jobs.html",
Which Louisville mental health providers offer case management?,sevencounties.org,https://sevencounties.org/resources/blog/what-is-case-management/,
Which Louisville mental health providers offer case management?,kentuckymentalhealth.com,https://kentuckymentalhealth.com/kentucky-case-management/,
Which Louisville mental health providers offer case management?,findhelp.org,https://www.findhelp.org/care/case-management--louisville-ky,
"Which Louisville providers help teens with anxiety, depression, or trauma?",recovery.com,https://recovery.com/louisville/adolescents/,
"Which Louisville providers help teens with anxiety, depression, or trauma?",turningwinds.com,https://www.turningwinds.com/adolescent-treatment-programs-for-teens-in-louisville-ky-that-take-insurance/,
"Which Louisville providers help teens with anxiety, depression, or trauma?",thebrookhospitals.com,https://thebrookhospitals.com/programs/teens/psychiatric-inpatient/,
"Which Louisville providers help teens with anxiety, depression, or trauma?",uoflhealth.org,https://uoflhealth.org/services/mental-and-behavioral-health/,
"Which Louisville providers help teens with anxiety, depression, or trauma?",nortonhealthcare.com,https://nortonhealthcare.com/services-and-conditions/behavioral-health/services/,
"Which Louisville providers help teens with anxiety, depression, or trauma?",louisvillegracepsychological.com,https://louisvillegracepsychological.com/child-therapist-louisville-ky/,
"Which Louisville providers help teens with anxiety, depression, or trauma?",louisvillegracepsychological.com,https://louisvillegracepsychological.com/teen-therapy-louisville/,
"Which Louisville providers help teens with anxiety, depression, or trauma?",louisvillegracepsychological.com,https://louisvillegracepsychological.com/erp-therapy-ocd-louisville/,
"Which Louisville providers help teens with anxiety, depression, or trauma?",louisvillegracepsychological.com,https://louisvillegracepsychological.com/complex-ptsd-understanding-the-nuances-of-chronic-trauma/,
"Which Louisville providers help teens with anxiety, depression, or trauma?",psychologytoday.com,https://www.psychologytoday.com/us/psychiatrists/ky/louisville?category=adolescents-teenagers-14-to-19,
"Which Louisville providers help teens with anxiety, depression, or trauma?",psychologytoday.com,https://www.psychologytoday.com/us/psychiatrists/co/louisville,
"Which Louisville providers help teens with anxiety, depression, or trauma?",missionprephealthcare.com,https://missionprephealthcare.com/blog/virginia-adolescent-mental-health-facilities-options-how-to-choose-the-right-one/,
"Which Louisville providers help teens with anxiety, depression, or trauma?",basepointacademy.com,https://basepointacademy.com/locations/dallas/balch-springs/,
Where can I get child therapy in Louisville KY?,columbusbehavioral.com,https://columbusbehavioral.com/mental-health-treatment-in-louisville-kentucky/,
Where can I get child therapy in Louisville KY?,fccwellbeing.com,https://fccwellbeing.com/clinic-locations/colorado/louisville-clinic/,
Where can I get child therapy in Louisville KY?,healthgrades.com,https://www.healthgrades.com/adolescent-psychiatry-pediatric-psychiatry-directory/ky-kentucky/louisville,
Where can I get child therapy in Louisville KY?,creativefamilycounseling.org,https://creativefamilycounseling.org/therapy-for-kids/,
Where can I get child therapy in Louisville KY?,providers.nortonchildrens.com,https://providers.nortonchildrens.com/specialty/Pediatric%20Psychology/near/Louisville%2C%20KY?page=1,
Where can I get child therapy in Louisville KY?,wrightchildpsychology.com,https://www.wrightchildpsychology.com/,
Where can I get child therapy in Louisville KY?,innovativefamilytherapy.com,https://innovativefamilytherapy.com/louisville-child-therapist/,
Where can I get child therapy in Louisville KY?,meridianbhservices.com,https://meridianbhservices.com/therapy-for-kids/,
Where can I get child therapy in Louisville KY?,riversidehealthcare.org,https://www.riversidehealthcare.org/services/behavioral-health/child-and-adolescent-services,
Where can I get child therapy in Louisville KY?,entunebh.com,https://entunebh.com/child-adolescent-therapy/,
Where can I get child therapy in Louisville KY?,recovery.com,https://recovery.com/childrens-wisconsin-new-berlin-psychiatry-and-behavioral-medicine-new-berlin/,
Where can I get child therapy in Louisville KY?,bhsva.net,https://www.bhsva.net/childrens-mental-health/,
Does Louisville Mental Health Group offer therapy in Louisville KY?,louisvilleaddictioncenter.com,https://louisvilleaddictioncenter.com/services/louisville-mental-health/,
Does Louisville Mental Health Group offer therapy in Louisville KY?,psychologytoday.com,https://www.psychologytoday.com/us/therapists/louisville-mental-health-group-louisville-ky/1309075,
Does Louisville Mental Health Group offer therapy in Louisville KY?,app.squareup.com,https://app.squareup.com/appointments/book/eb9c5ddf-fbb9-40ae-8d73-967aad8c9082/NB6KRWR5H44BZ/start?service_id=5NHEWSNEQSS6BKWMP52YM76F&variation_id=XK5C5ZLR3STU22UFBV2L24QX,
Does Louisville Mental Health Group offer therapy in Louisville KY?,jimwalker.fullslate.com,https://jimwalker.fullslate.com/services/5,
Does Louisville Mental Health Group offer therapy in Louisville KY?,paintedgroverecovery.com,https://paintedgroverecovery.com/therapy-programs/group-therapy/,
Does Louisville Mental Health Group offer therapy in Louisville KY?,louisvillegracepsychological.com,https://louisvillegracepsychological.com/,
Does Louisville Mental Health Group offer therapy in Louisville KY?,flourishlouisville.com,https://www.flourishlouisville.com/,
Who offers in-home therapy or community-based mental health support in Louisville?,counselingnow.com,https://counselingnow.com/ky-local-counseling/top-counseling-in-louisville/,
Who offers in-home therapy or community-based mental health support in Louisville?,causeiq.com,https://www.causeiq.com/directory/mental-health-group-homes-list/louisvillejefferson-county-ky-in-metro/,
Who offers in-home therapy or community-based mental health support in Louisville?,kentuckycounselingcenter.com,https://kentuckycounselingcenter.com/psychiatrist-louisville-ky/,
Who offers in-home therapy or community-based mental health support in Louisville?,robertalexandercenter.com,https://robertalexandercenter.com/situational-depression-symptoms-and-treatment-in-louisville/,
Who offers in-home therapy or community-based mental health support in Louisville?,lctps.org,http://www.lctps.org/,
Who offers in-home therapy or community-based mental health support in Louisville?,google.com,https://www.google.com/searchviewer/10?svid=CAwSHRIbCgNwdnESFENnMHZaeTh4TVdvemFEbDROekI1GAo,
Who offers in-home therapy or community-based mental health support in Louisville?,lctps.org,https://www.lctps.org/,
Who offers in-home therapy or community-based mental health support in Louisville?,lctps.org,https://www.lctps.org/music-therapy-internship,
Who offers in-home therapy or community-based mental health support in Louisville?,wellspringky.org,https://wellspringky.org/,
Who offers in-home therapy or community-based mental health support in Louisville?,google.com,https://www.google.com/searchviewer/10?svid=CAwSGxIZCgNwdnESEkNnc3ZaeTh4ZEdaeWMyNTBaZxgK,
Who offers in-home therapy or community-based mental health support in Louisville?,wellspringky.org,https://wellspringky.org/who-we-are-2/,
Who offers in-home therapy or community-based mental health support in Louisville?,wellspringky.org,https://wellspringky.org/intensive-treatment-teams/,
Who offers in-home therapy or community-based mental health support in Louisville?,wellspringky.org,https://wellspringky.org/supported-employment/,
Who offers in-home therapy or community-based mental health support in Louisville?,wlky.com,https://www.wlky.com/article/louisville-mental-health-support-give-wellspring/65878546,
Who offers in-home therapy or community-based mental health support in Louisville?,namilouisville.org,http://www.namilouisville.org/,
Who offers in-home therapy or community-based mental health support in Louisville?,google.com,https://www.google.com/searchviewer/10?svid=CAwSGxIZCgNwdnESEkNnc3ZaeTh4ZEdSc05uYzRhZxgK,
Who offers in-home therapy or community-based mental health support in Louisville?,namilouisville.org,https://namilouisville.org/,
Who offers in-home therapy or community-based mental health support in Louisville?,namilouisville.org,https://namilouisville.org/programs-%26-classes,
Who offers in-home therapy or community-based mental health support in Louisville?,instagram.com,https://www.instagram.com/namilouisville/,
Who offers in-home therapy or community-based mental health support in Louisville?,namilouisville.org,https://namilouisville.org/about-us,
Who offers in-home therapy or community-based mental health support in Louisville?,compservhealth.com,https://www.compservhealth.com/,
Who offers in-home therapy or community-based mental health support in Louisville?,compservhealth.com,https://www.compservhealth.com/booking-calendar/psychotherapy-1?utm_source=google&utm_medium=book_button&utm_campaign=Psychotherapy,
Who offers in-home therapy or community-based mental health support in Louisville?,louisvillemindandwellness.com,https://louisvillemindandwellness.com/,
Who offers in-home therapy or community-based mental health support in Louisville?,tebra.com,https://www.tebra.com/care/practice/louisville-mind-and-wellness-llc-650686?lid=490335590,
Who offers in-home therapy or community-based mental health support in Louisville?,bridgesupport.org,https://bridgesupport.org/making-a-difference-community-link-workers/,
Who offers in-home therapy or community-based mental health support in Louisville?,kidsfirstservices.com,https://www.kidsfirstservices.com/first-insights/community-therapy-programs,
Who offers in-home therapy or community-based mental health support in Louisville?,restaurabh.com,https://restaurabh.com/areas-we-serve/,
Who offers family therapy and care coordination in Louisville?,fccwellbeing.com,https://fccwellbeing.com/clinic-locations/colorado/louisville-clinic/,
Who offers family therapy and care coordination in Louisville?,boysandgirlshaven.org,https://boysandgirlshaven.org/programs/haven-family-counseling/,
Who offers family therapy and care coordination in Louisville?,creativefamilycounseling.org,https://creativefamilycounseling.org/,
Who offers family therapy and care coordination in Louisville?,lifestance.com,https://lifestance.com/services/family-therapy/ky/louisville/,
Who offers family therapy and care coordination in Louisville?,jimwalker.fullslate.com,https://jimwalker.fullslate.com/services/6,
Who offers family therapy and care coordination in Louisville?,whiteglovehomecare.com,https://whiteglovehomecare.com/best-pediatric-case-management-agencies-in-new-york/,
Find a Louisville therapist who accepts Medicaid.,psychologytoday.com,https://www.psychologytoday.com/us/therapists/ky/louisville?category=medicaid,
Find a Louisville therapist who accepts Medicaid.,zencare.co,https://zencare.co/us/kentucky/louisville/louisville-jefferson-county/therapists/insurance/medicaid,
Find a Louisville therapist who accepts Medicaid.,paid.care,https://paid.care/guides/medicaid-therapists-accessing-quality-mental-health-care,
Find a Louisville therapist who accepts Medicaid.,psychologytoday.com,https://www.psychologytoday.com/us/therapists/haven-family-counseling-louisville-ky/763897,
Find a Louisville therapist who accepts Medicaid.,psychologytoday.com,https://www.psychologytoday.com/us/therapists/blue-moon-therapy-louisville-ky/813431,
Find a Louisville therapist who accepts Medicaid.,therapist.com,https://therapist.com/clinician/meredith-cundiff-113953/,
Find a Louisville therapist who accepts Medicaid.,mentalhealthmatch.com,https://mentalhealthmatch.com/browse-therapists/kentucky/louisville/medicaid,
Find a Louisville therapist who accepts Medicaid.,manhattanmentalhealthcounseling.com,https://manhattanmentalhealthcounseling.com/does-medicaid-cover-therapy/,
Find a Louisville therapist who accepts Medicaid.,joingroups.com,https://joingroups.com/how-to-find-an-online-suboxone-doctor-or-clinic-that-accepts-medicaid/,
Who offers community based mental health services in Louisville?,louisvilleky.gov,https://louisvilleky.gov/government/health-wellness/community-mental-health-services,
Who offers community based mental health services in Louisville?,sevencounties.org,https://sevencounties.org/,
Who offers community based mental health services in Louisville?,uoflhealth.org,https://uoflhealth.org/services/mental-and-behavioral-health/,
Who offers community based mental health services in Louisville?,pdchc.org,https://pdchc.org/,
Who offers community based mental health services in Louisville?,pdchc.org,https://pdchc.org/adult-health/,
Who offers community based mental health services in Louisville?,pdchc.org,https://pdchc.org/behavioral/,
Who offers community based mental health services in Louisville?,compservhealth.com,https://www.compservhealth.com/,
Who offers community based mental health services in Louisville?,compservhealth.com,https://www.compservhealth.com/booking-calendar/psychotherapy-1?utm_source=google&utm_medium=book_button&utm_campaign=Psychotherapy,
Who offers community based mental health services in Louisville?,mentalhealthlou.com,https://mentalhealthlou.com/,
Who offers community based mental health services in Louisville?,namilouisville.org,https://namilouisville.org/,
Who offers community based mental health services in Louisville?,mentalhealthlou.com,https://www.mentalhealthlou.com/about,
Who offers community based mental health services in Louisville?,1si.org,https://1si.org/nonprofit-spotlight-nami-louisville/,
Who offers community based mental health services in Louisville?,namilouisville.org,https://namilouisville.org/programs-%26-classes,
Who offers community based mental health services in Louisville?,instagram.com,https://www.instagram.com/namilouisville/,
Who offers community based mental health services in Louisville?,988lifeline.org,https://988lifeline.org/,
Who offers community based mental health services in Louisville?,crisistextline.org,https://www.crisistextline.org/,
Who offers community based mental health services in Louisville?,metrounitedway.org,https://www.metrounitedway.org/,
Best therapy providers in Louisville KY for families and children,louisvillegracepsychological.com,https://louisvillegracepsychological.com/child-therapist-louisville-ky/,
Best therapy providers in Louisville KY for families and children,pivotalcounseling.com,https://www.pivotalcounseling.com/family-counselors-greeley-co,
Best therapy providers in Louisville KY for families and children,searhc.org,https://searhc.org/care-specialties/individual-family-therapy/,
Best therapy providers in Louisville KY for families and children,lh3.googleusercontent.com,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHJEElTT51FCE19McDp8mj7aHbhJtWp--R9p0ezV2dOEU5P-Gf7ulTl6woZXafpiHWEVh5YVaZ-W0ctVk6tAj7N75U7BjUbOX8nrbHloF28l4fGcqf6gP83fqoEWwPzQHWKIcdz=s192-w192-h144-n-k-no,
Best therapy providers in Louisville KY for families and children,streetviewpixels-pa.googleapis.com,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=av7BdQ-W1bHlMgQm-CCxog&cb_client=search.gws-prod.gps&yaw=38.667984&pitch=0&thumbfov=100&w=82&h=82,
Best therapy providers in Louisville KY for families and children,creativefamilycounseling.org,https://creativefamilycounseling.org/,
Best therapy providers in Louisville KY for families and children,lifestance.com,https://lifestance.com/services/family-therapy/ky/louisville/,
Best therapy providers in Louisville KY for families and children,jimwalker.fullslate.com,https://jimwalker.fullslate.com/services/6,
Best therapy providers in Louisville KY for families and children,louisvillegracepsychological.com,https://louisvillegracepsychological.com/marriage-counseling-louisville/,
Best therapy providers in Louisville KY for families and children,therapylab.com,https://www.therapylab.com/blogs/how-family-counseling-can-strengthen-relationships,
Best therapy providers in Louisville KY for families and children,ourchildrenourfuturefl.org,https://ourchildrenourfuturefl.org/family-therapy-counseling-hollywood-fl/,
Best therapy providers in Louisville KY for families and children,psychologytoday.com,https://www.psychologytoday.com/us/therapists/ky/louisville?category=children-6-to-10,
Who provides mental health services in Louisville KY?,louisvilleky.gov,https://louisvilleky.gov/government/health-wellness/community-mental-health-services,
Who provides mental health services in Louisville KY?,kentuckymentalhealth.com,https://kentuckymentalhealth.com/,
Who provides mental health services in Louisville KY?,louisvillegracepsychological.com,https://louisvillegracepsychological.com/,
Who provides mental health services in Louisville KY?,divorcerecoverylouisville.org,http://www.divorcerecoverylouisville.org/gethelp-crisis.html,
Who provides mental health services in Louisville KY?,tebra.com,https://www.tebra.com/care/practice/louisville-mind-and-wellness-llc-650686?lid=490335590,
Who provides mental health services in Louisville KY?,jimwalker.fullslate.com,https://jimwalker.fullslate.com/services/1,
Who provides mental health services in Louisville KY?,app.squareup.com,https://app.squareup.com/appointments/book/eb9c5ddf-fbb9-40ae-8d73-967aad8c9082/NB6KRWR5H44BZ/start?service_id=5NHEWSNEQSS6BKWMP52YM76F&variation_id=XK5C5ZLR3STU22UFBV2L24QX,
Who provides mental health services in Louisville KY?,zocdoc.com,https://www.zocdoc.com/doctor/nicole-fletcher-griggs-aprn-pmhnp-bc-656210?LocIdent=355819&utm_source=reservewithgoogle&utm_medium=seosynd&utm_campaign=hai&entity_id=pr_jICN4JntfEWK_4P5dFaJtQ-lo_X6B0qk02o0e0XbhXgmgwQQ-entity,
Who provides mental health services in Louisville KY?,lightheartassociates.com,https://lightheartassociates.com/psychology-blog/5-mental-health-resources-available-in-seattle-wa/,
Who provides mental health services in Louisville KY?,kysu.edu,https://www.kysu.edu/student-affairs/health-services/support.php,
Who provides mental health services in Louisville KY?,instagram.com,https://www.instagram.com/loumetrooss/,
