keyword,source,location_code,language_code,search_volume,ai_search_volume,cpc,competition,intent,intent_probability
who provides therapy in louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.7022
best therapist for anxiety in louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.6993
where to find family therapy in louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.6837
find child therapy near me louisville,ai-keyword-search-volume-core-agentic,2840,en,,0,,,transactional,0.5943
mental health services for families in louisville,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.6903
who offers case management in louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.9529
community based mental health services near me,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.803
in home therapy louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,navigational,0.3794
local counseling practice louisville kentucky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.5861
therapy provider accepting new clients louisville,ai-keyword-search-volume-core-agentic,2840,en,,0,,,transactional,0.3734
louisville mental health group,ai-keyword-search-volume-core-agentic,2840,en,,0,,,navigational,0.7137
louisvillementalhealth.org,ai-keyword-search-volume-core-agentic,2840,en,,0,,,navigational,0.5257
mental health services louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.5556
therapy louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,informational,0.4013
therapist louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,16,,,commercial,0.4341
counseling louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,informational,0.3694
individual therapy louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,navigational,0.8044
family therapy louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,informational,0.3566
child therapy louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.4976
group therapy louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,navigational,0.368
case management louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,1,,,commercial,0.7285
mental health case management louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.6697
community based mental health services louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.6105
trauma therapy louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.5906
anxiety therapy louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.5678
depression therapy louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,commercial,0.5688
play therapy louisville ky,ai-keyword-search-volume-core-agentic,2840,en,,0,,,navigational,0.3968
mental health services Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,commercial,0.5556
therapy Louisville KY,google-ads-search-volume-louisville-city,1017825,en,880,,28.09,HIGH,informational,0.4013
therapist Louisville KY,google-ads-search-volume-louisville-city,1017825,en,880,,28.09,HIGH,commercial,0.4341
counseling Louisville KY,google-ads-search-volume-louisville-city,1017825,en,590,,18.31,HIGH,informational,0.3694
individual therapy Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,navigational,0.8044
family therapy Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,informational,0.3566
child therapy Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,commercial,0.4976
group therapy Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,navigational,0.368
case management Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,commercial,0.7285
mental health case management Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,commercial,0.6697
community based mental health services Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,commercial,0.6105
in home therapy Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,navigational,0.3794
trauma therapy Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,commercial,0.5906
anxiety therapy Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,commercial,0.5678
depression therapy Louisville KY,google-ads-search-volume-louisville-city,1017825,en,50,,,LOW,commercial,0.5688
play therapy Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,navigational,0.3968
Louisville Mental Health Group,google-ads-search-volume-louisville-city,1017825,en,,,,,navigational,0.7137
behavioral health Louisville KY,google-ads-search-volume-louisville-city,1017825,en,90,,8.44,HIGH,,
outpatient mental health Louisville KY,google-ads-search-volume-louisville-city,1017825,en,20,,1.65,HIGH,,
Medicaid therapist Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,,
therapist that accepts Medicaid Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,,
therapy in your home Louisville KY,google-ads-search-volume-louisville-city,1017825,en,,,,,,
who provides therapy in Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.7022
best therapist for anxiety in Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.6993
where to find family therapy in Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.6837
find child therapy near me Louisville,google-ads-search-volume-core-agentic,2840,en,,,,,transactional,0.5943
mental health services for families in Louisville,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.6903
who offers case management in Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.9529
community based mental health services near me,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.803
in home therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,navigational,0.3794
local counseling practice Louisville Kentucky,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.5861
therapy provider accepting new clients Louisville,google-ads-search-volume-core-agentic,2840,en,,,,,transactional,0.3734
Louisville Mental Health Group,google-ads-search-volume-core-agentic,2840,en,,,,,navigational,0.7137
louisvillementalhealth.org,google-ads-search-volume-core-agentic,2840,en,,,,,navigational,0.5257
mental health services Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.5556
therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,1600,,26.57,HIGH,informational,0.4013
therapist Louisville KY,google-ads-search-volume-core-agentic,2840,en,1600,,26.57,HIGH,commercial,0.4341
counseling Louisville KY,google-ads-search-volume-core-agentic,2840,en,720,,12.57,HIGH,informational,0.3694
individual therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,navigational,0.8044
family therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,informational,0.3566
child therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.4976
group therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,navigational,0.368
case management Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.7285
mental health case management Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.6697
community based mental health services Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.6105
trauma therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.5906
anxiety therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.5678
depression therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,70,,,LOW,commercial,0.5688
play therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,navigational,0.3968
mental health services Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.5556
therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,1300,,27.71,HIGH,informational,0.4013
therapist Louisville KY,google-ads-search-volume-louisville-dma,200529,en,1300,,27.71,HIGH,commercial,0.4341
counseling Louisville KY,google-ads-search-volume-louisville-dma,200529,en,590,,14.96,HIGH,informational,0.3694
individual therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,navigational,0.8044
family therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,informational,0.3566
child therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.4976
group therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,navigational,0.368
case management Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.7285
mental health case management Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.6697
community based mental health services Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.6105
in home therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,navigational,0.3794
trauma therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.5906
anxiety therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.5678
depression therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,50,,,LOW,commercial,0.5688
play therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,navigational,0.3968
Louisville Mental Health Group,google-ads-search-volume-louisville-dma,200529,en,,,,,navigational,0.7137
behavioral health Louisville KY,google-ads-search-volume-louisville-dma,200529,en,140,,12.15,HIGH,,
outpatient mental health Louisville KY,google-ads-search-volume-louisville-dma,200529,en,20,,5.22,HIGH,,
Medicaid therapist Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,,
therapist that accepts Medicaid Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,,
therapy in your home Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,,
child therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,commercial,0.4976
community based mental health services near me,labs-keyword-overview-core-agentic,2840,en,,,,,informational,0.803
counseling louisville ky,labs-keyword-overview-core-agentic,2840,en,720,,12.57,0.73,informational,0.3694
family therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,commercial,0.3566
group therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,commercial,0.368
individual therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,commercial,0.8044
louisville mental health group,labs-keyword-overview-core-agentic,2840,en,,,,,navigational,0.7137
mental health services louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,informational,0.5556
play therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,navigational,0.3968
therapist louisville ky,labs-keyword-overview-core-agentic,2840,en,1600,,26.57,0.89,commercial,0.4341
therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,1600,,26.57,0.89,commercial,0.4013
trauma therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,commercial,0.5906
